countryname,iso3c,wbregion,incgroup,lendingcat,census_round,date,year,planned,notes
France,FRA,Europe & Central Asia,High income,,round2000, 8 March 1999,1999,0,
France,FRA,Europe & Central Asia,High income,,round2010, (15)1 January 2006,2006,0,Rolling Census based on continuous sample survey.
France,FRA,Europe & Central Asia,High income,,round2010, 1 January 2011,2011,0,
France,FRA,Europe & Central Asia,High income,,round2020, 1 January 2016,2016,0,
Faroe Islands,FRO,Europe & Central Asia,High income,,round1990, (3) 1 January 1990,1990,0,Population figures compiled from administrative registers.
Faroe Islands,FRO,Europe & Central Asia,High income,,round2000, (3) 1 January 2000,2000,0,Population figures compiled from administrative registers.
Faroe Islands,FRO,Europe & Central Asia,High income,,round2010, 11 November 2011,2011,0,
Faroe Islands,FRO,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,
"Micronesia, Federated States of",FSM,East Asia & Pacific,Lower middle income,IDA,round1990, 1985-1989,1986,0,
"Micronesia, Federated States of",FSM,East Asia & Pacific,Lower middle income,IDA,round1990, 18 September 1994,1994,0,
"Micronesia, Federated States of",FSM,East Asia & Pacific,Lower middle income,IDA,round2000, 1 April 2000,2000,0,
"Micronesia, Federated States of",FSM,East Asia & Pacific,Lower middle income,IDA,round2010, 4 April 2010,2010,0,
"Micronesia, Federated States of",FSM,East Asia & Pacific,Lower middle income,IDA,round2020,+ (2020),2020,1,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,round1990, (P) 1-31 July 1993,1993,0,Population census only.
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,round2000, December 2003,2003,0,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,round2010, 22 May 2013,2013,0,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,round2020,+ (2023),2023,1,
United Kingdom,GBR,Europe & Central Asia,High income,,round1990, 21 April 1991,1991,0,
United Kingdom,GBR,Europe & Central Asia,High income,,round2000, 29 April 2001,2001,0,
United Kingdom,GBR,Europe & Central Asia,High income,,round2010, 27 March 2011,2011,0,
United Kingdom,GBR,Europe & Central Asia,High income,,round2020, (21 March 2021),2021,1,
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD,round1990, 12 January 1989,1989,0,
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD,round2000, 17 January 2002,2002,0,
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD,round2010, 5-19 November 2014,2014,0,
Georgia,GEO,Europe & Central Asia,Upper middle income,IBRD,round2020,+ (2024),2024,1,
Guernsey,GGY,,,,round1990, (P) 23 March 1986,1986,0,Population census only.
Guernsey,GGY,,,,round1990, 21 April 1991,1991,0,
Guernsey,GGY,,,,round2000, 31 March 1996,1996,0,
Guernsey,GGY,,,,round2000, 29 April 2001,2001,0,
Guernsey,GGY,,,,round2010, 31 March 2009,2009,0,
Guernsey,GGY,,,,round2020, 31 March 2015,2015,0,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,round2000, 26 March 2000,2000,0,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,round2010, 26 Sep.-10 Oct. 2010,2010,0,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,round2020, (March 2020),2020,1,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,IDA,round1990, -,,0,
Gibraltar,GIB,Europe & Central Asia,High income,,round1990, 14 October 1991,1991,0,
Gibraltar,GIB,Europe & Central Asia,High income,,round2000, 12 November 2001,2001,0,
Gibraltar,GIB,Europe & Central Asia,High income,,round2010, 12 November 2012,2012,0,
Gibraltar,GIB,Europe & Central Asia,High income,,round2020,+ (2022),2022,1,
Guinea,GIN,Sub-Saharan Africa,Low income,IDA,round2000, 1-15 December 1996,1996,0,
Guinea,GIN,Sub-Saharan Africa,Low income,IDA,round2010, 1 Mar.-2 Apr. 2014,2014,0,
Guinea,GIN,Sub-Saharan Africa,Low income,IDA,round2020,+ (2024),2024,1,
Guinea,GIN,Sub-Saharan Africa,Low income,IDA,round1990, -,,0,
Guadeloupe,GLP,,,,round1990, 15 March 1990,1990,0,
Guadeloupe,GLP,,,,round2000, 8 March 1999,1999,0,
Guadeloupe,GLP,,,,round2010, 1 January 2008,2008,0,
Guadeloupe,GLP,,,,round2020, 1 January 2016,2016,0,
Gambia,GMB,Sub-Saharan Africa,Low income,IDA,round1990, (P) 15 April 1993,1993,0,Population census only.
Gambia,GMB,Sub-Saharan Africa,Low income,IDA,round2000, 15 April 2003,2003,0,
Gambia,GMB,Sub-Saharan Africa,Low income,IDA,round2010, 8-28 April 2013,2013,0,
Gambia,GMB,Sub-Saharan Africa,Low income,IDA,round2020,+ (2023),2023,1,
Guinea Bissau,GNB,Sub-Saharan Africa,Low income,IDA,round1990, 1 December 1991,1991,0,
Guinea Bissau,GNB,Sub-Saharan Africa,Low income,IDA,round2010, 15-29 March 2009,2009,0,
Guinea Bissau,GNB,Sub-Saharan Africa,Low income,IDA,round2020, (15 March 2021),2021,1,
Guinea Bissau,GNB,Sub-Saharan Africa,Low income,IDA,round2000, -,,0,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,round1990, (P) 4 July 1994,1994,0,Population census only.
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,round2000, February 2002,2002,0,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,round2020, 20 Jun.-19 Jul. 2015,2015,0,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,IBRD,round2010, -,,0,
Greece,GRC,Europe & Central Asia,High income,,round1990, 17 March 1991,1991,0,
Greece,GRC,Europe & Central Asia,High income,,round2000, 18 March 2001,2001,0,
Greece,GRC,Europe & Central Asia,High income,,round2010, 10-24 May 2011,2011,0,
Greece,GRC,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,round1990, 12 May 1991,1991,0,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,round2000, 25 May 2001,2001,0,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,round2010, 12 May 2011,2011,0,
Grenada,GRD,Latin America & Caribbean,Upper middle income,Blend,round2020,+ (2021),2021,1,
Greenland ,GRL,Europe & Central Asia,High income,,round1990, 1 January 1991,1991,0,Population figures compiled from administrative registers.
Greenland ,GRL,Europe & Central Asia,High income,,round2000, 1 January 2001,2001,0,Population figures compiled from administrative registers.
Greenland ,GRL,Europe & Central Asia,High income,,round2010, 1 January 2011,2011,0,Population figures compiled from administrative registers.
Greenland ,GRL,Europe & Central Asia,High income,,round2020, (1 January 2020),2020,1,Population figures compiled from administrative registers.
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD,round1990, 17-30 April 1994,1994,0,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD,round2000, 24 November 2002,2002,0,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD,round2020, 23 Jul.-16 Aug. 2018,2018,0,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,IBRD,round2010, -,,0,
French Guiana,GUF,,,,round1990, 15 March 1990,1990,0,
French Guiana,GUF,,,,round2000, 8 March 1999,1999,0,
French Guiana,GUF,,,,round2010, 1 January 2008,2008,0,
French Guiana,GUF,,,,round2020, 1 January 2016,2016,0,
Guam,GUM,East Asia & Pacific,High income,,round1990, 1 April 1990,1990,0,
Guam,GUM,East Asia & Pacific,High income,,round2000, 1 April 2000,2000,0,
Guam,GUM,East Asia & Pacific,High income,,round2010, 1 April 2010,2010,0,
Guam,GUM,East Asia & Pacific,High income,,round2020, (April 2020),2020,1,
Guyana,GUY,Latin America & Caribbean,Upper middle income,IDA,round1990, 12 May 1991,1991,0,
Guyana,GUY,Latin America & Caribbean,Upper middle income,IDA,round2000, 15 September 2002,2002,0,
Guyana,GUY,Latin America & Caribbean,Upper middle income,IDA,round2010, 15 September 2012,2012,0,
Guyana,GUY,Latin America & Caribbean,Upper middle income,IDA,round2020,+ (2022),2022,1,
China - Hong Kong SAR,HKG,East Asia & Pacific,High income,,round1990, (5) 11 March 1986,1986,0,"The population by-censuses for 1986 and 1996 were based on one-in-seven sample of the population, while that for 2006 was based on one-in-ten sample of the population."
China - Hong Kong SAR,HKG,East Asia & Pacific,High income,,round1990, 15 March 1991,1991,0,
China - Hong Kong SAR,HKG,East Asia & Pacific,High income,,round2000, (5) 15 March 1996,1996,0,"The population by-censuses for 1986 and 1996 were based on one-in-seven sample of the population, while that for 2006 was based on one-in-ten sample of the population."
China - Hong Kong SAR,HKG,East Asia & Pacific,High income,,round2000, 14 March 2001,2001,0,
China - Hong Kong SAR,HKG,East Asia & Pacific,High income,,round2010, (5)14 Jul.-1 Aug. 2006,2006,0,"The population by-censuses for 1986 and 1996 were based on one-in-seven sample of the population, while that for 2006 was based on one-in-ten sample of the population."
China - Hong Kong SAR,HKG,East Asia & Pacific,High income,,round2010, 30 Jun.-2 Aug. 2011,2011,0,
China - Hong Kong SAR,HKG,East Asia & Pacific,High income,,round2020, (5) 30 Jun.-2 Aug. 2016,2016,0,"The population by-censuses for 1986 and 1996 were based on one-in-seven sample of the population, while that for 2006 was based on one-in-ten sample of the population."
China - Hong Kong SAR,HKG,East Asia & Pacific,High income,,round2020, (30 June 2021),2021,1,
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,round1990, 29 May 1988,1988,0,
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,round2000, 28 July 2001,2001,0,
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,round2010, 10-25 August 2013,2013,0,
Honduras,HND,Latin America & Caribbean,Lower middle income,IDA,round2020,+ (2023),2023,1,
Croatia,HRV,Europe & Central Asia,High income,IBRD,round1990, 31 March 1991,1991,0,
Croatia,HRV,Europe & Central Asia,High income,IBRD,round2000, 31 March 2001,2001,0,
Croatia,HRV,Europe & Central Asia,High income,IBRD,round2010, 1-28 April 2011,2011,0,
Croatia,HRV,Europe & Central Asia,High income,IBRD,round2020,+ (2021),2021,1,
Haiti,HTI,Latin America & Caribbean,Low income,IDA,round2000, 11 January 2003,2003,0,
Haiti,HTI,Latin America & Caribbean,Low income,IDA,round2020,+ (2020),2020,1,
Haiti,HTI,Latin America & Caribbean,Low income,IDA,round1990, -,,0,
Haiti,HTI,Latin America & Caribbean,Low income,IDA,round2010, -,,0,
Hungary,HUN,Europe & Central Asia,High income,,round1990, 1 January 1990,1990,0,
Hungary,HUN,Europe & Central Asia,High income,,round2000, 1 February 2001,2001,0,
Hungary,HUN,Europe & Central Asia,High income,,round2010, 1 Oct.-31 Oct. 2011,2011,0,
Hungary,HUN,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,
Indonesia,IDN,East Asia & Pacific,Lower middle income,IBRD,round1990, 31 October 1990,1990,0,
Indonesia,IDN,East Asia & Pacific,Lower middle income,IBRD,round2000, 30 June 2000,2000,0,
Indonesia,IDN,East Asia & Pacific,Lower middle income,IBRD,round2010, 1-31 May 2010,2010,0,
Indonesia,IDN,East Asia & Pacific,Lower middle income,IBRD,round2020, (July 2020),2020,1,
Isle of Man,IMN,Europe & Central Asia,High income,,round1990, 6-7 April 1986,1986,0,
Isle of Man,IMN,Europe & Central Asia,High income,,round1990, 14 April 1991,1991,0,
Isle of Man,IMN,Europe & Central Asia,High income,,round2000, 14 April 1996,1996,0,
Isle of Man,IMN,Europe & Central Asia,High income,,round2000, 29 April 2001,2001,0,
Isle of Man,IMN,Europe & Central Asia,High income,,round2010, 23-24 April 2006,2006,0,
Isle of Man,IMN,Europe & Central Asia,High income,,round2010, 27 March 2011,2011,0,
Isle of Man,IMN,Europe & Central Asia,High income,,round2020, 24 April 2016,2016,0,
Isle of Man,IMN,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,
India,IND,South Asia,Lower middle income,IBRD,round1990, 1 March 1991,1991,0,
India,IND,South Asia,Lower middle income,IBRD,round2000, 1 March 2001,2001,0,
India,IND,South Asia,Lower middle income,IBRD,round2010, 9-28 February 2011,2011,0,
India,IND,South Asia,Lower middle income,IBRD,round2020, (9-28 February 2021),2021,1,
Ireland,IRL,Europe & Central Asia,High income,,round1990, (P) 13 April 1986,1986,0,Population census only.
Ireland,IRL,Europe & Central Asia,High income,,round1990, 21 April 1991,1991,0,
Ireland,IRL,Europe & Central Asia,High income,,round2000, 28 April 1996,1996,0,
Ireland,IRL,Europe & Central Asia,High income,,round2000, 28 April 2002,2002,0,
Ireland,IRL,Europe & Central Asia,High income,,round2010, 23 April 2006,2006,0,
Ireland,IRL,Europe & Central Asia,High income,,round2010, 1-28 April 2011,2011,0,
Ireland,IRL,Europe & Central Asia,High income,,round2020, 24 Apr.-23 May 2016,2016,0,
Ireland,IRL,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,
"Iran, Islamic Republic of",IRN,Middle East & North Africa,Upper middle income,IBRD,round1990, 22 September 1986,1986,0,
"Iran, Islamic Republic of",IRN,Middle East & North Africa,Upper middle income,IBRD,round1990, 11 December 1991,1991,0,
"Iran, Islamic Republic of",IRN,Middle East & North Africa,Upper middle income,IBRD,round2000, 23 Oct.-16 Nov. 1996,1996,0,
"Iran, Islamic Republic of",IRN,Middle East & North Africa,Upper middle income,IBRD,round2010, 28 Oct.-17 Nov. 2006,2006,0,
"Iran, Islamic Republic of",IRN,Middle East & North Africa,Upper middle income,IBRD,round2010, 24 Oct.-13 Nov. 2011,2011,0,
"Iran, Islamic Republic of",IRN,Middle East & North Africa,Upper middle income,IBRD,round2020, 24 Sep.-20 Nov. 2016,2016,0,
"Iran, Islamic Republic of",IRN,Middle East & North Africa,Upper middle income,IBRD,round2020, (15 October 2021),2021,1,
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,round1990, 17 October 1987,1987,0,
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,round2000, 16 October 1997,1997,0,
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,round2010, -,,0,
Iraq,IRQ,Middle East & North Africa,Upper middle income,IBRD,round2020, -,,0,
Iceland ,ISL,Europe & Central Asia,High income,,round2010, 31 December 2011,2011,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Iceland ,ISL,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Israel ,ISR,Middle East & North Africa,High income,,round2000, 4 November 1995,1995,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Israel ,ISR,Middle East & North Africa,High income,,round2010, 27 Dec. 2008-31 Jul. 2009,2009,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Israel ,ISR,Middle East & North Africa,High income,,round2020,+ (2020),2020,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Israel ,ISR,Middle East & North Africa,High income,,round1990, -,,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Italy ,ITA,Europe & Central Asia,High income,,round1990, 20 October 1991,1991,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Italy ,ITA,Europe & Central Asia,High income,,round2000, 21 October 2001,2001,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Italy ,ITA,Europe & Central Asia,High income,,round2010, 23 Oct. 2011-23 Jan. 2012,2012,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Italy ,ITA,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,round1990, 7 April 1991,1991,0,
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,round2000, 10 September 2001,2001,0,
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,round2010, 4 April 2011,2011,0,
Jamaica,JAM,Latin America & Caribbean,Upper middle income,IBRD,round2020,+ (2021),2021,1,
Jersey,JEY,,,,round1990, (P) 23 March 1986,1986,0,Population census only.
Jersey,JEY,,,,round1990, 10 March 1991,1991,0,
Jersey,JEY,,,,round2000, 10 March 1996,1996,0,
Jersey,JEY,,,,round2000, 11 March 2001,2001,0,
Jersey,JEY,,,,round2010, 27 March 2011,2011,0,
Jersey,JEY,,,,round2020,+ (2021),2021,1,
Jordan,JOR,Middle East & North Africa,Upper middle income,IBRD,round1990, 10 December 1994,1994,0,
Jordan,JOR,Middle East & North Africa,Upper middle income,IBRD,round2000, 1 October 2004,2004,0,
Jordan,JOR,Middle East & North Africa,Upper middle income,IBRD,round2020, 30 Nov.-10 Dec. 2015,2015,0,
Jordan,JOR,Middle East & North Africa,Upper middle income,IBRD,round2010, -,,0,
Japan,JPN,East Asia & Pacific,High income,,round1990, (P) 1 October 1985,1985,0,Population census only.
Japan,JPN,East Asia & Pacific,High income,,round1990, (H) 1 October 1988,1988,0,Housing census only.
Japan,JPN,East Asia & Pacific,High income,,round2000, (P) 1 October 1995,1995,0,Population census only.
Japan,JPN,East Asia & Pacific,High income,,round2000, (H) 1 October 1998,1998,0,Housing census only.
Japan,JPN,East Asia & Pacific,High income,,round2000, (P)1 October 2000,2000,0,Population census only.
Japan,JPN,East Asia & Pacific,High income,,round2000, (H) [2003],2003,0,Housing census only.
Japan,JPN,East Asia & Pacific,High income,,round2010, 1 October 2005,2005,0,
Japan,JPN,East Asia & Pacific,High income,,round2010, (H)1 October 2008,2008,0,Housing census only.
Japan,JPN,East Asia & Pacific,High income,,round2010, 23 Sep.-24 Oct. 2010,2010,0,
Japan,JPN,East Asia & Pacific,High income,,round2020, 1 October 2015,2015,0,
Japan,JPN,East Asia & Pacific,High income,,round2020, (1 October 2020),2020,1,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,round1990, 12 January 1989,1989,0,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,round2000, 26 February 1999,1999,0,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,round2010, 25 Feb.-6 Mar. 2009,2009,0,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,round2020, (1 October 2020),2020,1,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend,round1990, (P) 24 August 1989,1989,0,Population census only.
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend,round2000, 24 August 1999,1999,0,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend,round2010, 24-31 August 2009,2009,0,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Blend,round2020, (24 August 2019),2019,1,
Kyrgyzstan,KGZ,Europe & Central Asia,Lower middle income,IDA,round1990, 12 January 1989,1989,0,
Kyrgyzstan,KGZ,Europe & Central Asia,Lower middle income,IDA,round2000, 24 March 1999,1999,0,
Kyrgyzstan,KGZ,Europe & Central Asia,Lower middle income,IDA,round2010, 24 Mar.-3 Apr. 2009,2009,0,
Kyrgyzstan,KGZ,Europe & Central Asia,Lower middle income,IDA,round2020, (23 Mar.-1 Apr. 2020),2020,1,
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA,round2000, (P)3 March 1998,1998,0,Population census only.
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA,round2010, 3 March 2008,2008,0,
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA,round2020, 3 March 2019,2019,0,
Cambodia,KHM,East Asia & Pacific,Lower middle income,IDA,round1990, -,,0,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,round1990, 10 May 1985,1985,0,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,round1990, 7 November 1990,1990,0,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,round2000, 7 November 1995,1995,0,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,round2000, 7 November 2000,2000,0,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,round2010, 7 November 2005,2005,0,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,round2010, 7 November 2010,2010,0,
Kiribati,KIR,East Asia & Pacific,Lower middle income,IDA,round2020, 7 November 2015,2015,0,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD,round1990, 12 May 1991,1991,0,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD,round2000, 14 May 2001,2001,0,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD,round2010, 15 May 2011,2011,0,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD,round2020,+ (2021),2021,1,
"Korea, Republic of",KOR,East Asia & Pacific,High income,,round1990, 1 November 1985,1985,0,
"Korea, Republic of",KOR,East Asia & Pacific,High income,,round1990, 1 November 1990,1990,0,
"Korea, Republic of",KOR,East Asia & Pacific,High income,,round2000, 1 November 1995,1995,0,
"Korea, Republic of",KOR,East Asia & Pacific,High income,,round2000, 1 November 2000,2000,0,
"Korea, Republic of",KOR,East Asia & Pacific,High income,,round2010, 1-14 November 2005,2005,0,
"Korea, Republic of",KOR,East Asia & Pacific,High income,,round2010, 1-20 November 2010,2010,0,
"Korea, Republic of",KOR,East Asia & Pacific,High income,,round2020, 1-15 November 2015,2015,0,
"Korea, Republic of",KOR,East Asia & Pacific,High income,,round2020, (1 November 2020),2020,1,
Kuwait,KWT,Middle East & North Africa,High income,,round1990, 20 April 1985,1985,0,
Kuwait,KWT,Middle East & North Africa,High income,,round2000, 20 April 1995,1995,0,
Kuwait,KWT,Middle East & North Africa,High income,,round2010, 20-21 April 2005,2005,0,
Kuwait,KWT,Middle East & North Africa,High income,,round2010, 21 Apr.-31 May 2011,2011,0,
Kuwait,KWT,Middle East & North Africa,High income,,round2020,+ (2020),2020,1,
Lao People's Democratic Republic,LAO,East Asia & Pacific,Lower middle income,IDA,round1990, (P) 1 March 1985,1985,0,Population census only.
Lao People's Democratic Republic,LAO,East Asia & Pacific,Lower middle income,IDA,round2000, 1 March 1995,1995,0,
Lao People's Democratic Republic,LAO,East Asia & Pacific,Lower middle income,IDA,round2010, 1-7 March 2005,2005,0,
Lao People's Democratic Republic,LAO,East Asia & Pacific,Lower middle income,IDA,round2020, 1-7 March 2015,2015,0,
Lebanon,LBN,Middle East & North Africa,Upper middle income,IBRD,round1990, -,,0,
Lebanon,LBN,Middle East & North Africa,Upper middle income,IBRD,round2000, -,,0,
Lebanon,LBN,Middle East & North Africa,Upper middle income,IBRD,round2010, -,,0,
Lebanon,LBN,Middle East & North Africa,Upper middle income,IBRD,round2020, -,,0,
Liberia,LBR,Sub-Saharan Africa,Low income,IDA,round2010, 21 Mar.-30 Mar. 2008,2008,0,
Liberia,LBR,Sub-Saharan Africa,Low income,IDA,round2020, (3 December 2020),2020,1,
Liberia,LBR,Sub-Saharan Africa,Low income,IDA,round1990, -,,0,
Liberia,LBR,Sub-Saharan Africa,Low income,IDA,round2000, -,,0,
Libya Arab Jamahiriya,LBY,Middle East & North Africa,Upper middle income,IBRD,round2000, 11 August 1995,1995,0,
Libya Arab Jamahiriya,LBY,Middle East & North Africa,Upper middle income,IBRD,round2010, 15 Apr.-7 May 2006,2006,0,
Libya Arab Jamahiriya,LBY,Middle East & North Africa,Upper middle income,IBRD,round1990, -,,0,
Libya Arab Jamahiriya,LBY,Middle East & North Africa,Upper middle income,IBRD,round2020, -,,0,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,round1990, 12 May 1991,1991,0,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,round2000, 22 May 2001,2001,0,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,round2010, 10 May 2010,2010,0,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,round2020, (May 2020),2020,1,
Liechtenstein ,LIE,Europe & Central Asia,High income,,round1990, 4 December 1990,1990,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Liechtenstein ,LIE,Europe & Central Asia,High income,,round2000, 5 December 2000,2000,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Liechtenstein ,LIE,Europe & Central Asia,High income,,round2010, 31 December 2010,2010,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Liechtenstein ,LIE,Europe & Central Asia,High income,,round2020, 31 December 2015,2015,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Liechtenstein ,LIE,Europe & Central Asia,High income,,round2020, (31 December 2020),2020,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Sri Lanka,LKA,South Asia,Upper middle income,IBRD,round2000, 17 July 2001,2001,0,
Sri Lanka,LKA,South Asia,Upper middle income,IBRD,round2010, 27 Feb.-21 Mar. 2012,2012,0,
Sri Lanka,LKA,South Asia,Upper middle income,IBRD,round2020,+ (2021),2021,1,
Sri Lanka,LKA,South Asia,Upper middle income,IBRD,round1990, -,,0,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA,round1990, (P) 12 April 1986,1986,0,Population census only.
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA,round2000, 14 April 1996,1996,0,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA,round2010, 13 Apr.-13 May 2006,2006,0,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA,round2020, 10-24 April 2016,2016,0,
Lithuania ,LTU,Europe & Central Asia,High income,,round1990, 12 January 1989,1989,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Lithuania ,LTU,Europe & Central Asia,High income,,round2000, 6 April 2001,2001,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Lithuania ,LTU,Europe & Central Asia,High income,,round2010, 1 Mar.-9 May 2011,2011,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Lithuania ,LTU,Europe & Central Asia,High income,,round2020, (1 January 2020),2020,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Luxembourg,LUX,Europe & Central Asia,High income,,round1990, 1 March 1991,1991,0,
Luxembourg,LUX,Europe & Central Asia,High income,,round2000, 15 February 2001,2001,0,
Luxembourg,LUX,Europe & Central Asia,High income,,round2010, 1 February 2011,2011,0,
Luxembourg,LUX,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,
Latvia ,LVA,Europe & Central Asia,High income,,round1990, 12 January 1989,1989,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Latvia ,LVA,Europe & Central Asia,High income,,round2000, 31 March 2000,2000,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Latvia ,LVA,Europe & Central Asia,High income,,round2010, 1 Mar.-31 May 2011,2011,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Latvia ,LVA,Europe & Central Asia,High income,,round2020, (1 January 2021),2021,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
China - Macao SAR,MAC,East Asia & Pacific,High income,,round1990, 30 August 1991,1991,0,
China - Macao SAR,MAC,East Asia & Pacific,High income,,round2000, 23 August 2001,2001,0,
China - Macao SAR,MAC,East Asia & Pacific,High income,,round2010, 19 August 2006,2006,0,
China - Macao SAR,MAC,East Asia & Pacific,High income,,round2010, 12-26 August 2011,2011,0,
China - Macao SAR,MAC,East Asia & Pacific,High income,,round2020, 7-21 August 2016,2016,0,
China - Macao SAR,MAC,East Asia & Pacific,High income,,round2020, (7 August 2021),2021,1,
Saint-Martin,MAF,Latin America & Caribbean,High income,,round2020, 1 January 2015,2015,0,
Morocco,MAR,Middle East & North Africa,Lower middle income,IBRD,round1990, 2 September 1994,1994,0,
Morocco,MAR,Middle East & North Africa,Lower middle income,IBRD,round2000, 1-20 September 2004,2004,0,
Morocco,MAR,Middle East & North Africa,Lower middle income,IBRD,round2010, 1-20 September 2014,2014,0,
